num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_agent_steps_sampled_this_iter,num_agent_steps_trained_this_iter,num_agent_steps_sampled_throughput_per_sec,num_agent_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
0,0,0,4000,4000,500,500,4000,4000,23.17405510892292,23.17405510892292,4000,4000,4000,4000,4000,False,1,default,2026-01-08_10-41-08,1767836468,172.6068217754364,172.6068217754364,48336,DESKTOP-CAER24R,127.0.0.1,172.6068217754364,1,500,500,4000,4000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,172606.822,0.0,172606.822,166584.388,6021.87,83.031,0.0,500,500,4000,4000,52.12222222222223,84.73127572016462,[],[],125.0,480.5,479.5,0.0,0.568331,0.20000000000000004,0.0003,1.381454191543162,0.006670870173062819,4.078241608043512,0.0006358257184425989,0.01109404214731727,1.3331125943611066,0.5
0,0,0,8000,8000,1000,1000,4000,4000,23.290812467646706,23.290812467646706,8000,8000,8000,4000,8000,False,2,default,2026-01-08_10-43-59,1767836639,171.74254035949707,344.3493621349335,48336,DESKTOP-CAER24R,127.0.0.1,344.3493621349335,2,1000,1000,8000,8000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,172174.681,0.0,172174.181,166321.109,5852.79,85.429,0.0,1000,1000,8000,8000,52.23083333333334,85.18541666666665,[],[],125.0,1440.5,479.5,0.0,0.4461997,0.20000000000000004,0.0003,1.099694654182531,0.00026361371080080667,3.560484575976928,0.00792821180075407,0.01069676621009118,1.3659012004733087,0.5
0,0,0,12000,12000,1500,1500,4000,4000,28.41055816428154,28.41055816428154,12000,12000,12000,4000,12000,False,3,default,2026-01-08_10-46-20,1767836780,140.79272842407227,485.14209055900574,48336,DESKTOP-CAER24R,127.0.0.1,485.14209055900574,3,1500,1500,12000,12000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,161714.03,0.0,161713.697,155857.037,5856.139,85.38,0.0,1500,1500,12000,12000,57.802020202020195,85.77323232323235,[],[],125.0,2400.5,479.5,0.0,0.3551831,0.20000000000000004,0.0003,1.8343801477380717,-0.0010608689239840412,5.049066693087419,0.0009901136780778566,0.008176794993346663,1.3814553910245497,0.5
0,0,0,16000,16000,2000,2000,4000,4000,23.22551687087605,23.22551687087605,16000,16000,16000,4000,16000,False,4,default,2026-01-08_10-49-13,1767836953,172.2248752117157,657.3669657707214,48336,DESKTOP-CAER24R,127.0.0.1,657.3669657707214,4,2000,2000,16000,16000,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,1849.0,1849,0,1,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,1,164341.615,0.0,164341.365,158435.704,5905.024,84.674,0.0,2000,2000,16000,16000,52.353719008264456,86.26157024793389,[-2325.6842560768127],[1849],125.0,3360.5,479.5,0.0,0.40453088,0.20000000000000004,0.0003,1.9325805341824889,-0.0015224486977482834,5.250028976301352,0.0029081912090380985,0.0052823942345327024,1.383935990681251,0.5
0,0,0,20000,20000,2500,2500,4000,4000,23.169099501502604,23.169099501502604,20000,20000,20000,4000,20000,False,5,default,2026-01-08_10-52-05,1767837125,172.64374041557312,830.0107061862946,48336,DESKTOP-CAER24R,127.0.0.1,830.0107061862946,5,2500,2500,20000,20000,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,1849.0,1849,0,0,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,0,166002.04,0.0,166001.84,159963.294,6038.036,82.808,0.0,2500,2500,20000,20000,53.51157024793388,86.58429752066117,[-2325.6842560768127],[1849],125.0,4320.5,479.5,0.0,0.5880871,0.20000000000000004,0.0003,2.411720803628365,-0.000779242269830623,6.208800404767195,-0.0020342013488213223,0.002311161924318836,1.3847247707347075,0.5
0,0,0,24000,24000,3000,3000,4000,4000,25.761596152899333,25.761596152899333,24000,24000,24000,4000,24000,False,6,default,2026-01-08_10-54-41,1767837281,155.26988220214844,985.280588388443,48336,DESKTOP-CAER24R,127.0.0.1,985.280588388443,6,3000,3000,24000,24000,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,1849.0,1849,0,0,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,0,164213.347,0.0,164213.18,158143.335,6069.254,82.382,0.0,3000,3000,24000,24000,57.92385321100918,87.16330275229357,[-2325.6842560768127],[1849],125.0,5280.5,479.5,0.0,0.54474705,0.10000000000000002,0.0003,1.9340601534893116,-0.0038219058891021027,5.258769493550062,0.005458434981604417,0.0022861475738023135,1.3834625928352275,0.5
0,0,0,28000,28000,3500,3500,4000,4000,23.256409563883935,23.256409563883935,28000,28000,28000,4000,28000,False,7,default,2026-01-08_10-57-33,1767837453,171.99559497833252,1157.2761833667755,48336,DESKTOP-CAER24R,127.0.0.1,1157.2761833667755,7,3500,3500,28000,28000,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,1849.0,1849,0,0,-2325.6842560768127,-2325.6842560768127,-2325.6842560768127,0,165325.097,0.0,165324.954,159270.962,6053.341,82.599,0.0,3500,3500,28000,28000,51.04647302904564,85.1207468879668,[-2325.6842560768127],[1849],125.0,6240.5,479.5,0.0,0.67002386,0.05000000000000001,0.0003,1.9329141368468603,-0.001048804986930918,5.251091344406207,0.013914533394078414,0.002323996678335808,1.3833978544920682,0.5
0,0,0,32000,32000,4000,4000,4000,4000,54.6289424155256,54.6289424155256,32000,32000,32000,4000,32000,False,8,default,2026-01-08_10-58-46,1767837526,73.22126007080078,1230.4974434375763,48336,DESKTOP-CAER24R,127.0.0.1,1230.4974434375763,8,4000,4000,32000,32000,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,1894.5,3789,0,1,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,1,153812.117,0.0,153811.992,147664.038,6147.318,81.336,0.0,4000,4000,32000,32000,81.05825242718447,85.09805825242721,"[-2325.6842560768127, -4319.216174066067]","[1849, 1940]",125.0,7200.5,479.5,0.0,0.4388687,0.025000000000000005,0.0003,1.7298740982388456,-0.0004919714886151875,4.844253405680259,0.0014449529349803924,0.0022936038216655502,1.3836359479775031,0.5
0,0,0,36000,36000,4500,4500,4000,4000,25.24498648388908,25.24498648388908,36000,36000,36000,4000,36000,False,9,default,2026-01-08_11-01-24,1767837684,158.4473021030426,1388.944745540619,48336,DESKTOP-CAER24R,127.0.0.1,1388.944745540619,9,4500,4500,36000,36000,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,1894.5,3789,0,0,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,0,154327.138,0.0,154327.027,148193.188,6133.273,81.523,0.0,4500,4500,36000,36000,54.29414414414415,79.82612612612613,"[-2325.6842560768127, -4319.216174066067]","[1849, 1940]",125.0,8160.5,479.5,0.0,0.59414965,0.012500000000000002,0.0003,1.668305290925006,-0.0006990539458153459,4.722574705382188,0.005468577022353808,0.003959844452523479,1.384665002922217,0.5
0,0,0,40000,40000,5000,5000,4000,4000,23.236945337225468,23.236945337225468,40000,40000,40000,4000,40000,False,10,default,2026-01-08_11-04-16,1767837856,172.14067101478577,1561.0854165554047,48336,DESKTOP-CAER24R,127.0.0.1,1561.0854165554047,10,5000,5000,40000,40000,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,1894.5,3789,0,0,-2325.6842560768127,-4319.216174066067,-3322.4502150714397,0,156108.391,0.0,156108.291,149978.374,6129.407,81.574,0.0,5000,5000,40000,40000,50.97148760330579,78.94545454545455,"[-2325.6842560768127, -4319.216174066067]","[1849, 1940]",125.0,9120.5,479.5,0.0,0.7678982,0.006250000000000001,0.0003,2.0396973848342896,-0.003531774472503457,5.46587455595533,0.011741005256772042,0.0031123215910677376,1.3794551375011603,0.5
